,title,Rate,No_of_Ratings,Format,ReleaseYear,Directed_By,Starring,Price
145,Twilight Saga: Breaking Dawn Part 1,4.7,23519,Prime Video,2011.0,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner",3.79
146,Blitz,4.4,1431,Prime Video,2011.0,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",3.79
147,Fools Rush In,4.8,5717,Prime Video,1997.0,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",3.59
148,Puss in Boots,4.8,4079,Prime Video,2011.0,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis",3.59
149,Amy's F It List,4.2,74,Prime Video,2023.0,Mark S. Allen,"Alyson Gorske,Angel Prater,Mark DeCarlo",3.99
150,One for the Money,4.5,5094,Prime Video,2012.0,Julie Anne Robinson,"Katherine Heigl,Jason O'Mara,Daniel Sunjata",3.99
151,10 YEARS,4.3,1417,Prime Video,2012.0,Jamie Linden,"Channing Tatum,Chris Pratt,Jenna Dewan-Tatum",3.99
152,Violent Night,4.4,7120,Prime Video,2022.0,Tommy Wirkola,"David Harbour,John Leguizamo,Alex Hassell",4.19
153,Blood and Money,4.0,3800,Prime Video,2020.0,John Barr,"Tom Berenger,Kristen Hager,Paul Ben-Victor",4.19
154,Sisu,4.5,8132,Prime Video,2023.0,Jalmari Helander,"Onni Tommila,Jorma Tommila,Aksel Hennie,Jack Doolan",5.99
155,The Peanut Butter Falcon,4.7,34754,Prime Video,2019.0,"Michael Schwartz, Tyler Nilson","Zack Gottsagen,Ann  Owens",3.99
156,Beast,4.1,9766,Prime Video,2022.0,Baltasar Kormakur,"Liyabuya Gongo,Martin Munro,Daniel Hadebe",3.99
157,Bewitched,4.5,1967,Prime Video,2005.0,Nora Ephron,"Nicole Kidman,Will Ferrell,Shirley MacLaine",3.99
158,The Night Clerk,4.0,1309,Prime Video,2020.0,Michael Cristofer,"Tye Sheridan,Ana de Armas,John Leguizamo,Helen Hunt",3.99
159,Wild Target,4.4,1465,Prime Video,2010.0,Jonathan Lynn,"Bill Nighy,Emily Blunt,Rupert Grint,Rupert Everett",3.99
160,Teenage Mutant Ninja Turtles,4.5,18919,Prime Video,2014.0,Jonathan Liebesman,"Megan Fox,Will Arnett,William Fichtner",3.99
161,The Secret: Dare to Dream,4.6,35984,Prime Video,2020.0,Andy Tennant,"Katie Holmes,Josh Lucas,Jerry O'Connell,Celia Weston",3.99
162,"Legally Blonde 2: Red, White & Blonde",4.6,7352,Prime Video,2003.0,Charles Herman-Wurmfeld,"Reese Witherspoon,Sally Field,Regina King",3.99
163,Leap!,4.8,10118,Prime Video,2017.0,"Eric Summer,Eric Warin","Elle Fanning,Nat Wolff,Maddie Ziegler,Mel Brooks",3.99
164,The Darkest Minds,4.5,6665,Prime Video,2018.0,Jennifer Yuh Nelson,"Amandla Stenberg,Mandy Moore,Gwendoline Christie",3.99
165,Green Lantern,4.4,8380,Prime Video,2011.0,Martin Campbell,"Ryan Reynolds,Blake Lively,Peter Sarsgaard",2.89
166,The Pig Farm,4.0,5,Prime Video,2011.0,Christine Nielsen,"Maggie Huculak,Robert Pickton",2.89
167,Mars Attacks!,4.6,11508,Prime Video,1996.0,Tim Burton,"Jack Nicholson,Glenn Close,Annette Bening",3.79
168,The Watch,4.3,7037,Prime Video,2012.0,Akiva Schaffer,"Ben Stiller,Vince Vaughn,Jonah Hill,Richard Ayoade",3.79
169,Blow,4.7,6760,Prime Video,2001.0,Ted Demme,"Johnny Depp,PenÃ©lope Cruz,Franka Potente",3.79
170,The Birdcage,4.8,15514,Prime Video,1996.0,Mike Nichols,"Robin Williams,Gene Hackman,Nathan Lane",3.79
171,Deadly Entanglement,4.7,4,Prime Video,2023.0,Bobby Yan,"Monica Calhoun,Jessica A. Caesar,Vanessa Simmons",3.79
172,Solace,4.3,4154,Prime Video,2016.0,Afonso Poyart,"Anthony Hopkins,Jeffrey Dean Morgan,Abbie Cornish",3.79
173,Hercules (2014),4.3,18251,Prime Video,2014.0,Brett Ratner,"John Hurt,Dwayne Johnson",3.79
174,2 Guns,4.6,10764,Prime Video,2013.0,Baltasar Kormakur,"Denzel Washington,Mark Wahlberg,Paula Patton",2.99
175,Clifford the Big Red Dog,4.7,4382,Prime Video,2021.0,Walt Becker,"Jack Whitehall,Darby Camp,Tony Hale,Sienna Guillory",3.89
176,Army of Darkness,4.8,11428,Prime Video,1993.0,Sam Raimi,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert",3.99
177,Riddick,4.7,13990,Prime Video,2013.0,David Twohy,"Vin Diesel,Jordi Molla,Matt Nable,Katee Sackhoff",3.59
178,For Love Of The Game,4.8,6369,Prime Video,1999.0,Sam Raimi,"Kevin Costner,Kelly Preston,Jena Malone",3.79
179,To Freedom,5.0,3,Prime Video,2023.0,Biodun Stephen,"Daniel Etim Effiong,Osas Ighodaro,Eso Dike",3.79
180,Abbott and Costello Meet Frankenstein,4.8,3757,Prime Video,1948.0,Charles Barton,"Lou Costello,Charles Bradstreet,Bela Lugosi",3.79
181,The Pig Farm,4.0,5,Prime Video,2011.0,Christine Nielsen,"Maggie Huculak,Robert Pickton",3.79
182,No One Lives,4.2,1777,Prime Video,2013.0,RyÃ»hei Kitamura,"Adelaide Clemens,America Olivo,Beau Knapp,Brodus Clay",3.79
183,Horsemen (2009),4.0,684,Prime Video,2009.0,Jonas Akerlund,"Dennis Quaid,Ziyi Zhang,Lou Taylor Pucci",3.79
184,The Lincoln Lawyer,4.7,10051,Prime Video,2011.0,Brad Furman,"Matthew McConaughey,Marisa Tomei,Ryan Phillippe",3.79
185,The Little Things,4.3,15117,Prime Video,2021.0,John Lee Hancock,"Denzel Washington,Rami Malek,Jared Leto,Chris Bauer",2.99
